Date,Year,Month Number,Month Name,Month Year,Day,Day Name,Week Number,Quarter,Is Weekend
2022-03-31,2022,3,March,Mar 2022,31,Thursday,13,Q1,False
2022-04-01,2022,4,April,Apr 2022,1,Friday,13,Q2,False
2022-04-02,2022,4,April,Apr 2022,2,Saturday,13,Q2,True
2022-04-03,2022,4,April,Apr 2022,3,Sunday,13,Q2,True
2022-04-04,2022,4,April,Apr 2022,4,Monday,14,Q2,False
2022-04-05,2022,4,April,Apr 2022,5,Tuesday,14,Q2,False
2022-04-06,2022,4,April,Apr 2022,6,Wednesday,14,Q2,False
2022-04-07,2022,4,April,Apr 2022,7,Thursday,14,Q2,False
2022-04-08,2022,4,April,Apr 2022,8,Friday,14,Q2,False
2022-04-09,2022,4,April,Apr 2022,9,Saturday,14,Q2,True
2022-04-10,2022,4,April,Apr 2022,10,Sunday,14,Q2,True
2022-04-11,2022,4,April,Apr 2022,11,Monday,15,Q2,False
2022-04-12,2022,4,April,Apr 2022,12,Tuesday,15,Q2,False
2022-04-13,2022,4,April,Apr 2022,13,Wednesday,15,Q2,False
2022-04-14,2022,4,April,Apr 2022,14,Thursday,15,Q2,False
2022-04-15,2022,4,April,Apr 2022,15,Friday,15,Q2,False
2022-04-16,2022,4,April,Apr 2022,16,Saturday,15,Q2,True
2022-04-17,2022,4,April,Apr 2022,17,Sunday,15,Q2,True
2022-04-18,2022,4,April,Apr 2022,18,Monday,16,Q2,False
2022-04-19,2022,4,April,Apr 2022,19,Tuesday,16,Q2,False
2022-04-20,2022,4,April,Apr 2022,20,Wednesday,16,Q2,False
2022-04-21,2022,4,April,Apr 2022,21,Thursday,16,Q2,False
2022-04-22,2022,4,April,Apr 2022,22,Friday,16,Q2,False
2022-04-23,2022,4,April,Apr 2022,23,Saturday,16,Q2,True
2022-04-24,2022,4,April,Apr 2022,24,Sunday,16,Q2,True
2022-04-25,2022,4,April,Apr 2022,25,Monday,17,Q2,False
2022-04-26,2022,4,April,Apr 2022,26,Tuesday,17,Q2,False
2022-04-27,2022,4,April,Apr 2022,27,Wednesday,17,Q2,False
2022-04-28,2022,4,April,Apr 2022,28,Thursday,17,Q2,False
2022-04-29,2022,4,April,Apr 2022,29,Friday,17,Q2,False
2022-04-30,2022,4,April,Apr 2022,30,Saturday,17,Q2,True
2022-05-01,2022,5,May,May 2022,1,Sunday,17,Q2,True
2022-05-02,2022,5,May,May 2022,2,Monday,18,Q2,False
2022-05-03,2022,5,May,May 2022,3,Tuesday,18,Q2,False
2022-05-04,2022,5,May,May 2022,4,Wednesday,18,Q2,False
2022-05-05,2022,5,May,May 2022,5,Thursday,18,Q2,False
2022-05-06,2022,5,May,May 2022,6,Friday,18,Q2,False
2022-05-07,2022,5,May,May 2022,7,Saturday,18,Q2,True
2022-05-08,2022,5,May,May 2022,8,Sunday,18,Q2,True
2022-05-09,2022,5,May,May 2022,9,Monday,19,Q2,False
2022-05-10,2022,5,May,May 2022,10,Tuesday,19,Q2,False
2022-05-11,2022,5,May,May 2022,11,Wednesday,19,Q2,False
2022-05-12,2022,5,May,May 2022,12,Thursday,19,Q2,False
2022-05-13,2022,5,May,May 2022,13,Friday,19,Q2,False
2022-05-14,2022,5,May,May 2022,14,Saturday,19,Q2,True
2022-05-15,2022,5,May,May 2022,15,Sunday,19,Q2,True
2022-05-16,2022,5,May,May 2022,16,Monday,20,Q2,False
2022-05-17,2022,5,May,May 2022,17,Tuesday,20,Q2,False
2022-05-18,2022,5,May,May 2022,18,Wednesday,20,Q2,False
2022-05-19,2022,5,May,May 2022,19,Thursday,20,Q2,False
2022-05-20,2022,5,May,May 2022,20,Friday,20,Q2,False
2022-05-21,2022,5,May,May 2022,21,Saturday,20,Q2,True
2022-05-22,2022,5,May,May 2022,22,Sunday,20,Q2,True
2022-05-23,2022,5,May,May 2022,23,Monday,21,Q2,False
2022-05-24,2022,5,May,May 2022,24,Tuesday,21,Q2,False
2022-05-25,2022,5,May,May 2022,25,Wednesday,21,Q2,False
2022-05-26,2022,5,May,May 2022,26,Thursday,21,Q2,False
2022-05-27,2022,5,May,May 2022,27,Friday,21,Q2,False
2022-05-28,2022,5,May,May 2022,28,Saturday,21,Q2,True
2022-05-29,2022,5,May,May 2022,29,Sunday,21,Q2,True
2022-05-30,2022,5,May,May 2022,30,Monday,22,Q2,False
2022-05-31,2022,5,May,May 2022,31,Tuesday,22,Q2,False
2022-06-01,2022,6,June,Jun 2022,1,Wednesday,22,Q2,False
2022-06-02,2022,6,June,Jun 2022,2,Thursday,22,Q2,False
2022-06-03,2022,6,June,Jun 2022,3,Friday,22,Q2,False
2022-06-04,2022,6,June,Jun 2022,4,Saturday,22,Q2,True
2022-06-05,2022,6,June,Jun 2022,5,Sunday,22,Q2,True
2022-06-06,2022,6,June,Jun 2022,6,Monday,23,Q2,False
2022-06-07,2022,6,June,Jun 2022,7,Tuesday,23,Q2,False
2022-06-08,2022,6,June,Jun 2022,8,Wednesday,23,Q2,False
2022-06-09,2022,6,June,Jun 2022,9,Thursday,23,Q2,False
2022-06-10,2022,6,June,Jun 2022,10,Friday,23,Q2,False
2022-06-11,2022,6,June,Jun 2022,11,Saturday,23,Q2,True
2022-06-12,2022,6,June,Jun 2022,12,Sunday,23,Q2,True
2022-06-13,2022,6,June,Jun 2022,13,Monday,24,Q2,False
2022-06-14,2022,6,June,Jun 2022,14,Tuesday,24,Q2,False
2022-06-15,2022,6,June,Jun 2022,15,Wednesday,24,Q2,False
2022-06-16,2022,6,June,Jun 2022,16,Thursday,24,Q2,False
2022-06-17,2022,6,June,Jun 2022,17,Friday,24,Q2,False
2022-06-18,2022,6,June,Jun 2022,18,Saturday,24,Q2,True
2022-06-19,2022,6,June,Jun 2022,19,Sunday,24,Q2,True
2022-06-20,2022,6,June,Jun 2022,20,Monday,25,Q2,False
2022-06-21,2022,6,June,Jun 2022,21,Tuesday,25,Q2,False
2022-06-22,2022,6,June,Jun 2022,22,Wednesday,25,Q2,False
2022-06-23,2022,6,June,Jun 2022,23,Thursday,25,Q2,False
2022-06-24,2022,6,June,Jun 2022,24,Friday,25,Q2,False
2022-06-25,2022,6,June,Jun 2022,25,Saturday,25,Q2,True
