Order ID,Date,Status,Fulfilment,Sales Channel,Ship Service Level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,Ship City,Ship State,Ship Postal Code,Ship Country,Promotion IDs,B2B,Fulfilled By,Is Valid Order
171-1556000-8993931,2022-03-31,Cancelled,Amazon,Amazon.in,Expedited,SET282,SET282-KR-PP-XXXL,Set,3XL,B09CTFP96V,Cancelled,0,,,Kolkata,West Bengal,700029.0,IN,,False,,False
407-2352301-8497951,2022-03-31,Shipped,Amazon,Amazon.in,Expedited,JNE2270,JNE2270-KR-487-A-XXL,kurta,XXL,B07H7DZXJ5,Shipped,1,INR,499.0,Lucknow,Uttar Pradesh,226006.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
404-1415044-3213110,2022-03-31,Shipped,Amazon,Amazon.in,Expedited,SET268,SET268-KR-NP-XXXL,Set,3XL,B08XQBC8FV,Shipped,1,INR,698.0,Sikar,Rajasthan,332001.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
405-8427542-0989160,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,JNE3567,JNE3567-KR-L,kurta,L,B08KRXTFXH,Shipped,1,INR,449.0,Mandideep,Madhya Pradesh,462046.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
406-4964952-9171515,2022-04-01,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET327,SET327-KR-DPT-XXL,Set,XXL,B09PN3TB2G,Shipped,1,INR,899.0,Kadapa,Andhra Pradesh,516001.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-DFM4OAAQ3RGPM,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,True
405-8064820-0296321,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,MEN5019,MEN5019-KR-XXXL,kurta,3XL,B08YYQXZHK,Shipped,1,INR,472.0,Rewa,Madhya Pradesh,486001.0,IN,,False,,True
402-1771694-7614703,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,JNE3612,JNE3612-KR-S,kurta,S,B091Q7G4PC,Shipped,1,INR,417.0,Hyderabad,Telangana,500018.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
406-4650648-4497960,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,JNE3838,JNE3838-KR-S,kurta,S,B09TH5J938,Shipped,1,INR,481.0,Pune,Maharashtra,411014.0,IN,VPC-44571-38707597 Coupon,False,,True
171-4941723-8774734,2022-04-01,Cancelled,Amazon,Amazon.in,Expedited,J0342,J0342-TP-XXXL,Top,3XL,B099S8TJ3L,Unshipped,1,INR,798.0,Bangalore,Karnataka,560091.0,IN,,False,,False
406-9837677-6029950,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,JNE3528,JNE3528-KR-XXXL,kurta,3XL,B09B2CTXJF,Shipped,1,INR,317.0,Bally,West Bengal,711227.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
406-4177841-2321943,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,SET273,SET273-KR-NP-S,Set,S,B094FR7J54,Shipped,1,INR,597.0,Siliguri,West Bengal,734001.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
407-0715927-9118737,2022-04-01,Cancelled,Amazon,Amazon.in,Expedited,SET344,SET344-KR-NP-XXL,Set,XXL,B09QJ48G25,Cancelled,0,,,Nagpur,Maharashtra,440030.0,IN,,False,,False
